,0,1,2,3
0,1,6,54,39
1,20,6,124,88
2,21,6,101,121
3,27,7,7,137
4,28,6,23,72
5,29,8,176,29
6,34,10,58,184
7,37,9,139,173
8,39,8,142,124
9,42,8,147,17
10,52,8,104,179
11,52,10,116,44
12,62,10,171,47
13,63,8,187,179
14,83,9,129,53
15,82,8,18,93
16,75,7,75,103
17,93,9,183,45
18,115,9,142,128
19,145,10,153,103
20,151,10,26,163
21,163,9,153,95
22,164,6,41,193
23,181,11,63,105
24,191,9,11,150
25,246,8,63,98
26,94,9,20,176
27,92,8,179,47
28,114,9,138,129
29,151,10,26,163
30,155,9,190,12
31,180,11,62,105
32,133,8,164,10
